Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S22_Ultra
1,Samsung Galaxy S22 Ultra 128GB S908U Unlocked - Good,$250.99,2025-10-29,https://www.ebay.com/itm/256412927142,https://i.ebayimg.com/images/g/SrcAAeSwd1loL7rV/s-l500.webp,128 GB,Good,False,Galaxy S22 Ultra,True
1,Samsung Galaxy S22 Ultra 512GB S908U Unlocked - Good,$298.99,2025-10-29,https://www.ebay.com/itm/256497629590,https://i.ebayimg.com/images/g/0woAAeSwEFRoL1Ke/s-l500.webp,512 GB,Good,False,Galaxy S22 Ultra,True
1,Samsung Galaxy S22 Ultra 512GB Unlocked ATT T-Mobile Verizon Excellent Condition,$376.95,2025-10-29,https://www.ebay.com/itm/306175185652,https://i.ebayimg.com/images/g/96kAAOSwQDdn4arP/s-l500.webp,512 GB,Excellent,False,Galaxy S22 Ultra,True
1,Samsung Galaxy S22 Ultra 512GB S908U Unlocked - Very Good,$325.99,2025-10-29,https://www.ebay.com/itm/256483219243,https://i.ebayimg.com/images/g/yTQAAeSwKCRoL7rq/s-l500.webp,512 GB,Very Good,False,Galaxy S22 Ultra,True
1,Samsung Galaxy S22 Ultra SM-S908U1 Unlocked 128GB Phantom Black Good,$269.99,2025-10-28,https://www.ebay.com/itm/176490035899,https://i.ebayimg.com/images/g/qW4AAOSwj61mouUK/s-l500.webp,128 GB,Good,False,Galaxy S22 Ultra,True
1,Samsung Galaxy S22 Ultra 128GB S908U Unlocked - Very Good,$263.99,2025-10-28,https://www.ebay.com/itm/256363270963,https://i.ebayimg.com/images/g/rQcAAeSwKdVoL7o7/s-l500.webp,128 GB,Very Good,False,Galaxy S22 Ultra,True
1,Samsung Galaxy S22 Ultra 128GB S908U Unlocked - Excellent,$278.99,2025-10-28,https://www.ebay.com/itm/256363262192,https://i.ebayimg.com/images/g/yXQAAeSwN2JoL5bK/s-l500.webp,128 GB,Excellent,False,Galaxy S22 Ultra,True
1,Samsung Galaxy S22 Ultra 256GB S908U Unlocked - Very Good,$297.99,2025-10-28,https://www.ebay.com/itm/256483219323,https://i.ebayimg.com/images/g/IYwAAeSwAMdoN4JM/s-l500.webp,256 GB,Very Good,False,Galaxy S22 Ultra,True
1,Samsung Galaxy S22 Ultra 256GB S908U Unlocked - Good,$279.99,2025-10-28,https://www.ebay.com/itm/256459409583,https://i.ebayimg.com/images/g/PVEAAeSwf21oL2S-/s-l500.webp,256 GB,Good,False,Galaxy S22 Ultra,True
1,Samsung Galaxy S22 Ultra 128GB 256GB S908U Unlocked Smartphone - Good,$249.99,2025-10-28,https://www.ebay.com/itm/157238959320,https://i.ebayimg.com/images/g/VA0AAeSwGw1om2wY/s-l500.webp,128 GB,Good,False,Galaxy S22 Ultra,True
